tenure,MonthlyCharges,SupportTickets,Contract,InternetService,PaperlessBilling,Churn
52,21.79,3,One year,DSL,No,0
15,118.77,2,One year,DSL,Yes,1
61,62.78,0,One year,Fiber,Yes,0
21,58.43,1,Month-to-month,Fiber,No,0
24,87.96,0,One year,DSL,Yes,0
3,41.83,0,Month-to-month,Fiber,Yes,1
22,115.0,0,Month-to-month,None,Yes,1
53,98.63,2,One year,DSL,Yes,0
2,28.94,0,Month-to-month,DSL,Yes,0
30,61.76,1,Month-to-month,DSL,Yes,0
38,107.91,0,Two year,Fiber,Yes,0
2,114.47,1,Month-to-month,Fiber,Yes,1
64,66.74,0,One year,DSL,Yes,0
60,81.34,0,Month-to-month,Fiber,No,1
21,36.7,0,One year,DSL,No,0
33,119.12,0,Month-to-month,Fiber,No,0
58,43.17,1,Month-to-month,Fiber,Yes,1
22,114.27,1,One year,DSL,Yes,0
49,84.96,0,Month-to-month,Fiber,Yes,0
59,80.77,2,Month-to-month,DSL,Yes,1
42,71.27,1,Month-to-month,Fiber,No,0
60,43.07,1,Month-to-month,DSL,Yes,0
15,37.65,3,Month-to-month,Fiber,Yes,1
62,42.05,0,Month-to-month,DSL,Yes,1
62,38.64,0,Two year,Fiber,Yes,0
47,97.96,1,Month-to-month,DSL,Yes,1
62,55.01,2,Month-to-month,Fiber,Yes,1
51,25.78,1,Month-to-month,DSL,Yes,1
55,116.91,3,Month-to-month,None,No,0
64,108.38,1,Two year,DSL,Yes,1
3,112.78,0,Month-to-month,DSL,No,0
51,119.49,0,Two year,Fiber,No,1
7,37.39,2,Month-to-month,DSL,Yes,1
21,59.62,1,One year,DSL,No,0
39,95.82,1,Month-to-month,None,Yes,1
18,89.6,2,Two year,None,No,1
4,35.39,0,Month-to-month,DSL,Yes,0
60,101.58,2,Month-to-month,None,Yes,0
14,42.44,1,Month-to-month,Fiber,Yes,0
9,42.38,1,Month-to-month,DSL,Yes,1
53,73.7,4,Two year,Fiber,No,1
2,79.29,0,Month-to-month,Fiber,Yes,0
60,78.01,1,Month-to-month,None,Yes,0
71,29.15,1,One year,DSL,Yes,0
44,107.75,0,Month-to-month,Fiber,No,0
8,46.56,1,Two year,DSL,Yes,0
47,32.95,1,One year,DSL,Yes,0
35,108.87,0,Month-to-month,DSL,Yes,1
36,115.57,0,Two year,None,No,0
50,106.21,1,Month-to-month,Fiber,Yes,1
4,100.95,3,Month-to-month,Fiber,Yes,1
2,85.52,1,Month-to-month,Fiber,Yes,1
6,75.09,0,Month-to-month,DSL,No,0
54,28.7,1,One year,DSL,Yes,0
4,60.85,2,Two year,DSL,Yes,0
54,57.27,3,Month-to-month,DSL,Yes,0
63,45.98,1,Month-to-month,Fiber,No,1
18,92.34,2,Two year,Fiber,No,0
44,69.59,1,Month-to-month,DSL,Yes,0
34,28.1,1,Month-to-month,DSL,Yes,0
62,42.02,2,Month-to-month,DSL,Yes,1
14,88.33,0,Two year,Fiber,Yes,1
48,27.61,2,Month-to-month,None,Yes,0
15,105.12,0,One year,Fiber,Yes,0
62,69.51,1,One year,Fiber,Yes,0
40,68.06,2,Month-to-month,Fiber,No,0
53,79.24,0,Month-to-month,DSL,Yes,0
24,102.47,3,One year,DSL,Yes,0
26,54.78,1,Month-to-month,Fiber,Yes,0
60,87.8,2,One year,Fiber,Yes,0
41,76.57,0,Two year,DSL,Yes,0
29,46.7,0,One year,Fiber,Yes,0
15,107.86,1,One year,Fiber,Yes,0
45,99.74,0,One year,Fiber,No,0
65,85.85,2,One year,None,No,1
71,105.06,1,Month-to-month,Fiber,Yes,0
9,106.73,1,Month-to-month,Fiber,Yes,1
1,90.84,4,Month-to-month,DSL,Yes,1
8,103.7,2,One year,DSL,Yes,1
63,89.75,1,Month-to-month,DSL,Yes,1
11,88.01,0,One year,DSL,No,0
8,81.86,1,Month-to-month,Fiber,No,1
35,95.27,2,One year,Fiber,No,0
35,35.86,1,Month-to-month,DSL,Yes,0
33,108.09,0,One year,Fiber,No,0
5,107.18,0,Month-to-month,DSL,No,1
41,22.92,1,Month-to-month,DSL,Yes,0
28,102.58,2,Month-to-month,DSL,Yes,0
7,32.89,1,One year,DSL,No,0
12,53.51,1,Month-to-month,DSL,Yes,0
34,94.35,1,Month-to-month,Fiber,Yes,1
33,36.08,4,Two year,Fiber,Yes,0
48,101.8,0,One year,None,Yes,0
23,103.21,1,Two year,DSL,Yes,0
62,70.75,1,Month-to-month,DSL,No,1
37,20.64,0,Month-to-month,DSL,Yes,0
44,48.7,4,Two year,Fiber,Yes,0
35,81.69,0,Month-to-month,DSL,Yes,1
65,118.12,1,One year,Fiber,Yes,1
47,83.18,1,Month-to-month,Fiber,Yes,0
3,45.98,2,Month-to-month,Fiber,Yes,1
1,83.4,2,Month-to-month,Fiber,Yes,1
5,74.0,2,Month-to-month,DSL,Yes,1
14,97.98,0,Month-to-month,DSL,Yes,1
27,30.7,0,Month-to-month,DSL,Yes,1
9,96.1,1,Two year,Fiber,Yes,1
15,74.13,1,Month-to-month,DSL,Yes,0
42,116.3,3,One year,DSL,No,0
51,54.19,4,One year,None,Yes,1
63,83.26,0,Month-to-month,DSL,Yes,1
52,113.2,3,Month-to-month,Fiber,Yes,1
4,30.25,0,One year,Fiber,Yes,0
23,113.72,2,One year,DSL,No,0
15,88.79,2,One year,DSL,Yes,0
43,26.78,2,One year,DSL,Yes,0
29,50.1,1,Two year,Fiber,Yes,0
36,90.82,0,Month-to-month,Fiber,Yes,1
13,26.74,1,Month-to-month,Fiber,No,1
32,78.22,0,One year,None,Yes,0
71,54.59,0,Month-to-month,Fiber,Yes,0
59,82.09,1,Two year,DSL,Yes,0
28,24.57,3,Month-to-month,DSL,Yes,1
66,107.15,0,Month-to-month,Fiber,No,1
42,117.35,3,One year,DSL,Yes,0
45,116.89,3,Month-to-month,DSL,Yes,1
62,94.97,2,Month-to-month,Fiber,Yes,1
57,33.01,1,Month-to-month,Fiber,Yes,0
6,95.83,1,Two year,None,Yes,0
28,22.46,0,Month-to-month,Fiber,Yes,1
28,22.21,1,Two year,DSL,Yes,0
44,52.36,2,Month-to-month,None,Yes,0
30,68.86,2,One year,DSL,Yes,0
62,97.04,0,One year,DSL,No,0
62,88.33,2,Month-to-month,Fiber,Yes,0
1,64.59,0,Month-to-month,DSL,Yes,0
27,47.36,0,Month-to-month,Fiber,Yes,1
62,119.71,1,One year,DSL,Yes,0
3,62.62,0,Month-to-month,Fiber,Yes,0
70,65.14,0,One year,DSL,No,1
27,36.36,3,Month-to-month,Fiber,Yes,1
9,99.48,1,Month-to-month,Fiber,Yes,0
62,89.37,0,Month-to-month,DSL,Yes,0
37,42.08,3,Month-to-month,DSL,Yes,1
51,28.24,1,Month-to-month,DSL,Yes,1
44,88.05,2,Two year,DSL,No,1
24,85.45,2,One year,Fiber,Yes,0
59,47.33,1,Month-to-month,Fiber,Yes,1
32,115.09,3,Two year,DSL,Yes,0
52,35.11,1,One year,DSL,Yes,0
62,63.23,1,Two year,DSL,Yes,1
58,114.36,1,Month-to-month,Fiber,Yes,0
52,61.97,0,Month-to-month,DSL,Yes,1
12,83.85,1,Month-to-month,None,Yes,0
39,59.76,1,One year,Fiber,Yes,0
2,47.42,0,Month-to-month,DSL,Yes,0
3,118.4,1,Month-to-month,Fiber,Yes,1
56,60.93,0,Month-to-month,None,Yes,1
59,109.41,1,Month-to-month,Fiber,Yes,1
2,43.0,1,One year,DSL,Yes,0
2,41.31,0,Month-to-month,DSL,Yes,1
54,23.11,1,Month-to-month,Fiber,No,0
1,85.17,0,One year,Fiber,Yes,0
19,56.85,1,Two year,Fiber,Yes,0
2,106.44,1,One year,Fiber,Yes,0
53,67.32,3,Two year,Fiber,Yes,0
44,116.82,2,One year,None,Yes,0
32,38.55,2,Month-to-month,DSL,Yes,0
70,106.86,2,Month-to-month,Fiber,Yes,1
32,97.66,0,One year,Fiber,Yes,1
68,97.09,5,One year,Fiber,Yes,0
55,104.48,0,One year,Fiber,No,0
56,96.1,0,Month-to-month,DSL,Yes,1
17,82.62,2,Month-to-month,Fiber,Yes,1
38,33.12,2,Month-to-month,Fiber,Yes,0
24,23.25,1,Month-to-month,DSL,Yes,1
69,112.08,0,Month-to-month,Fiber,Yes,1
70,81.67,1,One year,DSL,Yes,0
11,99.65,0,Month-to-month,DSL,Yes,1
16,68.15,2,Month-to-month,DSL,Yes,0
59,31.73,1,Month-to-month,Fiber,No,1
70,32.52,2,One year,Fiber,No,0
3,88.56,0,Month-to-month,Fiber,Yes,1
20,63.03,2,Month-to-month,Fiber,Yes,1
59,40.05,0,Month-to-month,Fiber,Yes,1
36,69.16,2,Month-to-month,DSL,Yes,0
19,26.42,1,Two year,DSL,Yes,0
67,78.2,1,Two year,Fiber,Yes,0
19,46.9,1,Month-to-month,DSL,No,1
20,99.76,1,Month-to-month,None,Yes,1
71,51.04,0,One year,Fiber,Yes,0
52,65.52,1,Month-to-month,Fiber,Yes,0
33,21.16,1,Month-to-month,None,No,0
40,27.24,1,Month-to-month,DSL,Yes,1
39,59.25,0,Two year,DSL,Yes,0
1,67.99,0,Month-to-month,Fiber,Yes,0
11,80.0,1,Month-to-month,DSL,No,0
57,49.17,1,One year,None,Yes,1
50,89.5,1,Month-to-month,DSL,No,1
23,106.01,2,Month-to-month,Fiber,Yes,1
31,97.99,1,Two year,Fiber,Yes,1
42,23.96,4,Month-to-month,Fiber,Yes,1
7,68.05,0,One year,DSL,Yes,1
16,30.49,2,Month-to-month,DSL,Yes,0
60,44.2,0,Month-to-month,Fiber,No,0
2,118.67,0,Month-to-month,DSL,Yes,1
1,34.25,0,Month-to-month,Fiber,Yes,1
48,69.89,2,Month-to-month,Fiber,Yes,0
12,81.82,1,One year,Fiber,Yes,1
69,90.25,0,Month-to-month,Fiber,Yes,0
37,75.96,3,Month-to-month,DSL,Yes,1
32,20.98,3,Month-to-month,Fiber,Yes,1
9,52.65,1,One year,Fiber,Yes,1
19,71.77,0,Month-to-month,Fiber,No,1
48,28.79,0,Month-to-month,None,Yes,1
3,55.06,0,Month-to-month,Fiber,No,1
20,23.32,2,Month-to-month,DSL,Yes,0
24,27.86,0,Month-to-month,DSL,Yes,0
54,59.69,6,One year,None,Yes,1
33,33.27,1,Month-to-month,DSL,Yes,1
24,76.75,0,Month-to-month,Fiber,No,0
36,88.95,0,Month-to-month,Fiber,Yes,0
38,100.06,2,One year,DSL,Yes,0
25,40.02,0,Month-to-month,DSL,No,0
18,36.75,2,Month-to-month,Fiber,Yes,0
